bird_id,nest_id,coordX,coordY
5,439,7.16335023,46.85957869
6,547,7.179104301,46.80172441
15,852,7.370332915,47.3334838
17,945,7.006418006,46.63155275
26,454,7.286082707,46.88914718
29,644,7.301723788,46.83251672
37,535,7.413767345,46.83959221
38,876,7.270790705,46.85683074
40,136,7.347685592,46.87016023
43,591,7.186967853,46.77580823
46,1099,7.35346333,46.80396635
49,590,7.32855243,46.843004380000004
54,850,6.916798629,46.52716541
55,827,7.284564877,46.82892039
56,730,7.360584441,46.8880727
59,170,7.237841744,46.82317138
67,809,7.314751616,46.72288193
74,669,7.208211079,46.74234559
82,512,7.252571439,46.77044738
84,683,7.225959638,46.7462887
91,642,7.289183516,46.7713164
95,544,7.283187405,46.78169275
98,581,7.240328319,46.82761946
102,672,7.180793893,46.8341275
105,1005,7.339955244,46.76878036
108,833,7.379749698,46.84546387
116,589,7.248087888,46.77214907
124,457,7.515751023,47.112223
126,808,7.282626182,46.81581165
137,293,7.325438969,46.86903
138,31,7.276178612,46.80859718
139,1129,8.257725997,47.44347434
140,461,7.802238321,47.1033312
142,446,6.819787243,46.62550896
151,593,7.09526701,46.55572515
154,421,7.256234264,46.84700029
157,699,8.825008852,47.65408143
161,572,7.769444448,47.69916668
165,424,7.018329247,46.76010175
171,712,6.951527307,46.68303736
172,430,7.130943686,46.70989449
228,471,5.402017515,46.04580624
249,925,7.282878759,46.79397805
251,674,7.35090478,46.85710123
254,800,7.269563523,46.83383102
260,785,7.134720414,46.77432636
262,918,7.22552475,46.81151235
270,597,9.188572105,47.42845954
282,832,7.229977204,46.79143126
285,946,7.327844615,46.77934326
286,574,6.573000007,46.33100001
291,825,7.231874385,46.95142913
297,602,13.12806001,48.12417001
303,690,7.326231462,46.8578262
306,710,7.24993035,46.78550748
308,643,7.344083197,46.75002617
315,793,8.111985408,47.04812669
321,1062,7.293948236,46.74727645
322,642,7.289183516,46.7713164
325,705,7.353282674,46.80857324
329,967,7.250610671,46.90155012
330,696,7.173721874,46.86812815
337,516,7.195788257,46.89253346
342,675,7.389589469,46.79907432
343,781,7.3900207,46.80309509
349,627,7.175403567,46.85854586
350,772,7.243590396,46.72798729
355,968,7.310361738,46.71969732
367,744,7.301969999,46.8028339
370,647,7.378039381,46.81444629
391,695,7.301492709,46.80979142
396,861,7.357003243,46.78433822
399,706,7.328721503,46.80785972
401,776,7.36756701,46.77809708
402,846,7.360403346,46.79549415
403,776,7.36756701,46.77809708
416,703,7.406973285,46.81296225
421,843,7.249736694,46.93060099
422,1066,7.290529612,47.01104274
425,946,7.327844615,46.77934326
426,767,7.274745733,46.76140754
430,684,7.367173824,46.82411404
431,851,7.370216589,46.80349045
437,796,7.280360171,46.76447961
485,880,7.281212315,46.84245725
486,1071,7.25386566,46.82508549
487,891,7.253551291,46.89254028
496,932,7.118222382,46.6892018
497,971,7.138306989,46.71883467
502,938,7.292267858,46.8741976
504,827,7.284564877,46.82892039
506,865,3.024234528,45.43927282
509,1014,8.25787307,46.9280063
511,790,7.239000591,46.87166013
514,829,7.352814278,46.9023963
517,715,16.57328165,49.42151955
518,1149,7.285412787,46.78502427
521,1036,7.369568794,46.85646086
528,724,7.250494832,46.7903222
710,993,7.140255063,46.80468259
747,947,7.358737562,46.85199206
788,1220,7.89010124,47.17643951
830,1045,7.259719655,46.76423657
832,1083,7.329416075,46.8507752
896,1169,7.048589649,46.49323922
906,1162,7.16629327,46.80121096
970,1196,7.677271982,46.66023719
988,881,7.327287649,46.85195511
996,1215,9.157113282,47.42778052
